Especie;Categoria_Ameaca;Legislacao
Espostoopsis dybowskii;EN;Portaria MMA N. 148/2022
Facheiroa cephaliomelana;EN;Portaria MMA N. 148/2022
Facheiroa cephaliomelana subsp. estevesii;EN;Portaria MMA N. 148/2022
Facheiroa ulei;EN;Portaria MMA N. 148/2022
Frailea buenekeri;EN;Portaria MMA N. 148/2022
Frailea castanea;EN;Portaria MMA N. 148/2022
Frailea mammifera;CR;Portaria MMA N. 148/2022
Frailea phaeodisca;EN;Portaria MMA N. 148/2022
Frailea pumila;VU;Portaria MMA N. 148/2022
Frailea pygmaea;VU;Portaria MMA N. 148/2022
Gymnocalycium denudatum;EN;Portaria MMA N. 148/2022
Hatiora herminiae;VU;Portaria MMA N. 148/2022
Melocactus azureus;EN;Portaria MMA N. 148/2022
Melocactus conoideus;CR;Portaria MMA N. 148/2022
Melocactus deinacanthus;CR;Portaria MMA N. 148/2022
Melocactus ferreophilus;EN;Portaria MMA N. 148/2022
Melocactus glaucescens;EN;Portaria MMA N. 148/2022
Melocactus lanssensianus;EN;Portaria MMA N. 148/2022
Melocactus pachyacanthus;EN;Portaria MMA N. 148/2022
Melocactus paucispinus;VU;Portaria MMA N. 148/2022
Melocactus violaceus;VU;Portaria MMA N. 148/2022
Melocactus violaceus subsp. ritteri;EN;Portaria MMA N. 148/2022
Micranthocereus albicephalus;EN;Portaria MMA N. 148/2022
Micranthocereus auriazureus;EN;Portaria MMA N. 148/2022
Micranthocereus dolichospermaticus;EN;Portaria MMA N. 148/2022
Micranthocereus polyanthus;EN;Portaria MMA N. 148/2022
Micranthocereus streckeri;CR;Portaria MMA N. 148/2022
Micranthocereus violaciflorus;EN;Portaria MMA N. 148/2022
Parodia concinna;EN;Portaria MMA N. 148/2022
Parodia crassigibba;EN;Portaria MMA N. 148/2022
Parodia erinacea;EN;Portaria MMA N. 148/2022
Parodia mammulosa;EN;Portaria MMA N. 148/2022
Parodia oxycostata;VU;Portaria MMA N. 148/2022
Parodia rechensis;CR;Portaria MMA N. 148/2022
Parodia scopa;EN;Portaria MMA N. 148/2022
Pereskia aureiflora;VU;Portaria MMA N. 148/2022
Pilosocereus aurisetus subsp. aurilanatus;EN;Portaria MMA N. 148/2022
Pilosocereus azulensis;CR;Portaria MMA N. 148/2022
Pilosocereus floccosus subsp. quadricostatus;EN;Portaria MMA N. 148/2022
Pilosocereus fulvilanatus;EN;Portaria MMA N. 148/2022
Pilosocereus glaucochrous;VU;Portaria MMA N. 148/2022
Pilosocereus magnificus;EN;Portaria MMA N. 148/2022
Pilosocereus multicostatus;EN;Portaria MMA N. 148/2022
Pilosocereus ulei;EN;Portaria MMA N. 148/2022
Rhipsalis agudoensis;EN;Portaria MMA N. 148/2022
Rhipsalis cereoides;CR;Portaria MMA N. 148/2022
Rhipsalis flagelliformis;EN;Portaria MMA N. 148/2022
Rhipsalis mesembryanthemoides;EN;Portaria MMA N. 148/2022
Rhipsalis ormindoi;VU;Portaria MMA N. 148/2022
Rhipsalis pacheco-leonis;EN;Portaria MMA N. 148/2022
Rhipsalis paradoxa subsp. septentrionalis;EN;Portaria MMA N. 148/2022
Rhipsalis pentaptera;CR;Portaria MMA N. 148/2022
Rhipsalis triangularis;EN;Portaria MMA N. 148/2022
Schlumbergera kautskyi;EN;Portaria MMA N. 148/2022
Schlumbergera microsphaerica;VU;Portaria MMA N. 148/2022
Schlumbergera opuntioides;VU;Portaria MMA N. 148/2022
Schlumbergera russelliana;EN;Portaria MMA N. 148/2022
Tacinga braunii;VU;Portaria MMA N. 148/2022
Uebelmannia buiningii;CR;Portaria MMA N. 148/2022
Uebelmannia gummifera;VU;Portaria MMA N. 148/2022
Uebelmannia pectinifera;EN;Portaria MMA N. 148/2022
Caraipa balbinensis;CR;Portaria MMA N. 148/2022
Caraipa rodriguesii;VU;Portaria MMA N. 148/2022
Kielmeyera albopunctata;VU;Portaria MMA N. 148/2022
Kielmeyera aureovinosa;EN;Portaria MMA N. 148/2022
Kielmeyera bifaria;EN;Portaria MMA N. 148/2022
Kielmeyera decipiens;CR;Portaria MMA N. 148/2022
Kielmeyera elata;EN;Portaria MMA N. 148/2022
Kielmeyera excelsa;VU;Portaria MMA N. 148/2022
Kielmeyera fatimae;EN;Portaria MMA N. 148/2022
Kielmeyera ferruginosa;CR;Portaria MMA N. 148/2022
Kielmeyera gracilis;EN;Portaria MMA N. 148/2022
Kielmeyera insignis;EN;Portaria MMA N. 148/2022
Kielmeyera itacarensis;EN;Portaria MMA N. 148/2022
Kielmeyera marauensis;EN;Portaria MMA N. 148/2022
Kielmeyera occhioniana;EN;Portaria MMA N. 148/2022
Kielmeyera rizziniana;EN;Portaria MMA N. 148/2022
Kielmeyera rufotomentosa;EN;Portaria MMA N. 148/2022
Kielmeyera rupestris;CR;Portaria MMA N. 148/2022
Kielmeyera sigillata;CR;Portaria MMA N. 148/2022
Boopis bupleuroides;EN;Portaria MMA N. 148/2022
Boopis itatiaiae;EN;Portaria MMA N. 148/2022
Lobelia hilaireana;EN;Portaria MMA N. 148/2022
Lobelia langeana;EN;Portaria MMA N. 148/2022
Lobelia santos-limae;CR;Portaria MMA N. 148/2022
Cinnamodendron axillare;EN;Portaria MMA N. 148/2022
Cinnamodendron occhionianum;CR;Portaria MMA N. 148/2022
Celtis orthacanthos;EN;Portaria MMA N. 148/2022
Colicodendron bahianum;VU;Portaria MMA N. 148/2022
Neocalyptrocalyx nectareus;EN;Portaria MMA N. 148/2022
Valeriana glaziovii Taub.;EN;Portaria MMA N. 148/2022
Valeriana glechomifolia;EN;Portaria MMA N. 148/2022
Valeriana organensis;CR;Portaria MMA N. 148/2022
Valeriana reitziana Borsini;VU;Portaria MMA N. 148/2022
Valeriana tajuvensis;VU;Portaria MMA N. 148/2022
Citronella engleriana;EN;Portaria MMA N. 148/2022
Monteverdia acanthophylla;VU;Portaria MMA N. 148/2022
Monteverdia chapadensis;EN;Portaria MMA N. 148/2022
Monteverdia fugax;EN;Portaria MMA N. 148/2022
Monteverdia horrida;EN;Portaria MMA N. 148/2022
Monteverdia longifolia;VU;Portaria MMA N. 148/2022
Monteverdia megalocarpa;EN;Portaria MMA N. 148/2022
Monteverdia psammophila;EN;Portaria MMA N. 148/2022
Monteverdia rupestris;VU;Portaria MMA N. 148/2022
Monteverdia samydiformis;CR;Portaria MMA N. 148/2022
Peritassa longifolia;VU;Portaria MMA N. 148/2022
Peritassa sadleri;CR;Portaria MMA N. 148/2022
Salacia mosenii;CR;Portaria MMA N. 148/2022
Tontelea corcovadensis;EN;Portaria MMA N. 148/2022
Tontelea lanceolata;EN;Portaria MMA N. 148/2022
Tontelea martiana;EN;Portaria MMA N. 148/2022
Couepia belemii;EN;Portaria MMA N. 148/2022
Couepia bondarii;EN;Portaria MMA N. 148/2022
Couepia carautae;CR;Portaria MMA N. 148/2022
Couepia coarctata;CR;Portaria MMA N. 148/2022
Couepia eriantha;VU;Portaria MMA N. 148/2022
Couepia insignis;EN;Portaria MMA N. 148/2022
Couepia joaquinae;CR;Portaria MMA N. 148/2022
Couepia leitaofilhoi;EN;Portaria MMA N. 148/2022
Couepia longipetiolata;EN;Portaria MMA N. 148/2022
Couepia meridionalis;CR;Portaria MMA N. 148/2022
Couepia oxossii;EN;Portaria MMA N. 148/2022
Couepia parvifolia;EN;Portaria MMA N. 148/2022
Couepia schottii;EN;Portaria MMA N. 148/2022
Exellodendron gracile;EN;Portaria MMA N. 148/2022
Hirtella angustifolia;VU;Portaria MMA N. 148/2022
Hirtella conduplicata;CR;Portaria MMA N. 148/2022
Hirtella floribunda;EN;Portaria MMA N. 148/2022
Hirtella glaziovii;EN;Portaria MMA N. 148/2022
Hirtella juruensis;EN;Portaria MMA N. 148/2022
Hirtella kuhlmannii;EN;Portaria MMA N. 148/2022
Hirtella lancifolia;VU;Portaria MMA N. 148/2022
Hirtella parviunguis;EN;Portaria MMA N. 148/2022
Hirtella prancei;EN;Portaria MMA N. 148/2022
Hirtella santosii;EN;Portaria MMA N. 148/2022
Hymenopus adolphoduckei;EN;Portaria MMA N. 148/2022
Hymenopus conferruminatus;CR;Portaria MMA N. 148/2022
Leptobalanus maguirei;EN;Portaria MMA N. 148/2022
Leptobalanus turbinatus;EN;Portaria MMA N. 148/2022
Licania arianeae;EN;Portaria MMA N. 148/2022
Licania belemii;EN;Portaria MMA N. 148/2022
Licania cymosa;EN;Portaria MMA N. 148/2022
Licania indurata;EN;Portaria MMA N. 148/2022
Licania lamentanda;EN;Portaria MMA N. 148/2022
Licania naviculistipula;EN;Portaria MMA N. 148/2022
Licania tocantina;EN;Portaria MMA N. 148/2022
Moquilea araneosa;VU;Portaria MMA N. 148/2022
Parinari alvimii;EN;Portaria MMA N. 148/2022
Crocanthemum brasiliensis;EN;Portaria MMA N. 148/2022
Clusia aemygdioi;EN;Portaria MMA N. 148/2022
Clusia burchellii;EN;Portaria MMA N. 148/2022
Clusia diamantina;EN;Portaria MMA N. 148/2022
Clusia fragrans;EN;Portaria MMA N. 148/2022
Clusia immersa;EN;Portaria MMA N. 148/2022
Clusia riedeliana;EN;Portaria MMA N. 148/2022
Garcinia albuquerquei;EN;Portaria MMA N. 148/2022
Lorostemon coelhoi;EN;Portaria MMA N. 148/2022
Combretum rupicola;CR;Portaria MMA N. 148/2022
Terminalia acuminata;EN;Portaria MMA N. 148/2022
Dichorisandra acaulis;EN;Portaria MMA N. 148/2022
Dichorisandra gaudichaudiana;EN;Portaria MMA N. 148/2022
Dichorisandra glaziovii;VU;Portaria MMA N. 148/2022
Dichorisandra leucophthalmos;VU;Portaria MMA N. 148/2022
Dichorisandra nana;EN;Portaria MMA N. 148/2022
Dichorisandra neglecta;CR;Portaria MMA N. 148/2022
Dichorisandra odorata;VU;Portaria MMA N. 148/2022
Dichorisandra oxypetala;EN;Portaria MMA N. 148/2022
Dichorisandra picta;CR;Portaria MMA N. 148/2022
Siderasis fuscata;EN;Portaria MMA N. 148/2022
Connarus marginatus;EN;Portaria MMA N. 148/2022
Rourea bahiensis;EN;Portaria MMA N. 148/2022
Rourea cnestidifolia;EN;Portaria MMA N. 148/2022
Rourea laurifolia;VU;Portaria MMA N. 148/2022
Rourea pseudospadicea;EN;Portaria MMA N. 148/2022
Bonamia umbellata;CR;Portaria MMA N. 148/2022
Distimake repens;EN;Portaria MMA N. 148/2022
Evolvulus chrysotrichos;EN;Portaria MMA N. 148/2022
Evolvulus glaziovii;VU;Portaria MMA N. 148/2022
Evolvulus kramerioides;VU;Portaria MMA N. 148/2022
Evolvulus rariflorus;VU;Portaria MMA N. 148/2022
Evolvulus riedelii;EN;Portaria MMA N. 148/2022
Evolvulus stellariifolius;EN;Portaria MMA N. 148/2022
Ipomoea carajasensis;VU;Portaria MMA N. 148/2022
Ipomoea cavalcantei;EN;Portaria MMA N. 148/2022
Ipomoea daturiflora;VU;Portaria MMA N. 148/2022
Ipomoea macedoi;CR;Portaria MMA N. 148/2022
Ipomoea subrevoluta;VU;Portaria MMA N. 148/2022
Jacquemontia cephalantha;VU;Portaria MMA N. 148/2022
Jacquemontia revoluta;EN;Portaria MMA N. 148/2022
Crassula peduncularis;CR;Portaria MMA N. 148/2022
Wilbrandia glaziovii;EN;Portaria MMA N. 148/2022
Lamanonia brasiliensis;EN;Portaria MMA N. 148/2022
Lamanonia ulei;EN;Portaria MMA N. 148/2022
Bulbostylis distichoides;VU;Portaria MMA N. 148/2022
Bulbostylis nesiotis;VU;Portaria MMA N. 148/2022
Bulbostylis smithii;EN;Portaria MMA N. 148/2022
Cyperus appendiculatus var. atlanticus;VU;Portaria MMA N. 148/2022
Hypolytrum amorimii;CR;Portaria MMA N. 148/2022
Hypolytrum bahiense;EN;Portaria MMA N. 148/2022
Hypolytrum glaziovii;CR;Portaria MMA N. 148/2022
Hypolytrum lucennoi;VU;Portaria MMA N. 148/2022
Hypolytrum paraense;EN;Portaria MMA N. 148/2022
Lagenocarpus bracteosus;EN;Portaria MMA N. 148/2022
Rhynchospora pilulifera;CR;Portaria MMA N. 148/2022
Scleria balansae;VU;Portaria MMA N. 148/2022
Trilepis tenuis;CR;Portaria MMA N. 148/2022
Stephanopodium engleri;EN;Portaria MMA N. 148/2022
Stephanopodium estrellense;EN;Portaria MMA N. 148/2022
Stephanopodium gracile;VU;Portaria MMA N. 148/2022
Stephanopodium magnifolium;EN;Portaria MMA N. 148/2022
Stephanopodium sessile;EN;Portaria MMA N. 148/2022
Tapura follii;CR;Portaria MMA N. 148/2022
Tapura wurdackiana;EN;Portaria MMA N. 148/2022
Dicksonia sellowiana;EN;Portaria MMA N. 148/2022
Atractylocarpus brasiliensis;EN;Portaria MMA N. 148/2022
Atractylocarpus longisetus;EN;Portaria MMA N. 148/2022
Campylopus densicoma;EN;Portaria MMA N. 148/2022
Davilla glaziovii;EN;Portaria MMA N. 148/2022
Davilla macrocarpa;VU;Portaria MMA N. 148/2022
Doliocarpus lancifolius;EN;Portaria MMA N. 148/2022
Dioscorea asperula;VU;Portaria MMA N. 148/2022
Dioscorea bradei;EN;Portaria MMA N. 148/2022
Dioscorea campanulata;EN;Portaria MMA N. 148/2022
Dioscorea itatiaiensis;CR;Portaria MMA N. 148/2022
Dioscorea loefgrenii;VU;Portaria MMA N. 148/2022
Dioscorea mantiqueirensis;CR;Portaria MMA N. 148/2022
Dioscorea margarethia;CR;Portaria MMA N. 148/2022
Dioscorea pedalis;VU;Portaria MMA N. 148/2022
Dioscorea pseudomacrocapsa;EN;Portaria MMA N. 148/2022
Dioscorea sanpaulensis;EN;Portaria MMA N. 148/2022
Dioscorea sphaeroidea;CR;Portaria MMA N. 148/2022
Dioscorea trilinguis;EN;Portaria MMA N. 148/2022
Chrysoblastella chilensis;EN;Portaria MMA N. 148/2022
Drosera graminifolia;CR;Portaria MMA N. 148/2022
Drosera graomogolensis;EN;Portaria MMA N. 148/2022
Drosera magnifica;CR;Portaria MMA N. 148/2022
Drosera quartzicola;EN;Portaria MMA N. 148/2022
Elaphoglossum acrocarpum;VU;Portaria MMA N. 148/2022
Elaphoglossum beckeri;CR;Portaria MMA N. 148/2022
Megalastrum wacketii;EN;Portaria MMA N. 148/2022
Polystichum bradei;EN;Portaria MMA N. 148/2022
Diospyros agnitser;EN;Portaria MMA N. 148/2022
Diospyros amabi;EN;Portaria MMA N. 148/2022
Diospyros bullata;VU;Portaria MMA N. 148/2022
Diospyros ketun;VU;Portaria MMA N. 148/2022
Diospyros longistyla;VU;Portaria MMA N. 148/2022
Diospyros mexiae;EN;Portaria MMA N. 148/2022
Diospyros riedelii;EN;Portaria MMA N. 148/2022
Diospyros scottmorii;EN;Portaria MMA N. 148/2022
Diospyros serrana;CR;Portaria MMA N. 148/2022
Diospyros tarim;EN;Portaria MMA N. 148/2022
Diospyros ubaita;EN;Portaria MMA N. 148/2022
Sloanea fasciculata;EN;Portaria MMA N. 148/2022
Sloanea froesii;VU;Portaria MMA N. 148/2022
Sloanea hatschbachii;EN;Portaria MMA N. 148/2022
Sloanea obtusifolia;EN;Portaria MMA N. 148/2022
Sloanea petalata;CR;Portaria MMA N. 148/2022
Sloanea spathulata;VU;Portaria MMA N. 148/2022
Ephedra tweediana;VU;Portaria MMA N. 148/2022
Agarista organensis;CR;Portaria MMA N. 148/2022
Agarista uleana;VU;Portaria MMA N. 148/2022
Gaultheria sleumeriana;CR;Portaria MMA N. 148/2022
Gaylussacia angulata;EN;Portaria MMA N. 148/2022
Gaylussacia caparoensis;EN;Portaria MMA N. 148/2022
Gaylussacia centunculifolia;EN;Portaria MMA N. 148/2022
Gaylussacia harleyi;VU;Portaria MMA N. 148/2022
Gaylussacia oleifolia;VU;Portaria MMA N. 148/2022
Gaylussacia pruinosa;CR;Portaria MMA N. 148/2022
Gaylussacia retivenia;EN;Portaria MMA N. 148/2022
Gaylussacia setosa;CR;Portaria MMA N. 148/2022
Actinocephalus cipoensis;CR;Portaria MMA N. 148/2022
Actinocephalus claussenianus;VU;Portaria MMA N. 148/2022
Comanthera bahiensis;EN;Portaria MMA N. 148/2022
Comanthera brasiliana;CR;Portaria MMA N. 148/2022
Comanthera elegans;EN;Portaria MMA N. 148/2022
Comanthera harleyi;VU;Portaria MMA N. 148/2022
Comanthera mucugensis;EN;Portaria MMA N. 148/2022
Comanthera pignalii;CR;Portaria MMA N. 148/2022
Leiothrix echinocephala;VU;Portaria MMA N. 148/2022
Paepalanthus argyrotrychus;CR;Portaria MMA N. 148/2022
Paepalanthus ater;CR;Portaria MMA N. 148/2022
Paepalanthus capixaba;CR;Portaria MMA N. 148/2022
Paepalanthus echinoides;EN;Portaria MMA N. 148/2022
Paepalanthus farinaceus;CR;Portaria MMA N. 148/2022
Paepalanthus flexuosus;CR;Portaria MMA N. 148/2022
Paepalanthus hydra;EN;Portaria MMA N. 148/2022
Paepalanthus longiciliatus;CR;Portaria MMA N. 148/2022
Paepalanthus macaheensis;EN;Portaria MMA N. 148/2022
Paepalanthus macer;CR;Portaria MMA N. 148/2022
Paepalanthus ovatus;EN;Portaria MMA N. 148/2022
Paepalanthus polygonus;EN;Portaria MMA N. 148/2022
Paepalanthus stellatus;VU;Portaria MMA N. 148/2022
Paepalanthus urbanianus;VU;Portaria MMA N. 148/2022
Paepalanthus velutiphyllus;EN;Portaria MMA N. 148/2022
Syngonanthus incurvifolius;CR;Portaria MMA N. 148/2022
Syngonanthus itambeensis;EN;Portaria MMA N. 148/2022
Syngonanthus laricifolius;VU;Portaria MMA N. 148/2022
Syngonanthus vittatus;EN;Portaria MMA N. 148/2022
Heisteria huberiana;CR;Portaria MMA N. 148/2022
Erythroxylum ayrtonianum;CR;Portaria MMA N. 148/2022
Erythroxylum bezerrae;EN;Portaria MMA N. 148/2022
Erythroxylum catharinense;EN;Portaria MMA N. 148/2022
Erythroxylum cincinnatum;EN;Portaria MMA N. 148/2022
Erythroxylum compressum;EN;Portaria MMA N. 148/2022
Erythroxylum frangulifolium;EN;Portaria MMA N. 148/2022
Erythroxylum leal-costae;CR;Portaria MMA N. 148/2022
Erythroxylum magnoliifolium;EN;Portaria MMA N. 148/2022
Erythroxylum mattos-silvae;EN;Portaria MMA N. 148/2022
Erythroxylum membranaceum;EN;Portaria MMA N. 148/2022
Erythroxylum nelson-rosae;EN;Portaria MMA N. 148/2022
Erythroxylum nitidum;EN;Portaria MMA N. 148/2022
Erythroxylum nordestinum;EN;Portaria MMA N. 148/2022
Erythroxylum occultum;CR;Portaria MMA N. 148/2022
Erythroxylum ovalifolium;VU;Portaria MMA N. 148/2022
Erythroxylum petrae-caballi;VU;Portaria MMA N. 148/2022
Erythroxylum schomburgkii;EN;Portaria MMA N. 148/2022
Erythroxylum sobraleanum;CR;Portaria MMA N. 148/2022
Erythroxylum splendidum;EN;Portaria MMA N. 148/2022
Erythroxylum substriatum;VU;Portaria MMA N. 148/2022
Erythroxylum tianguanum;CR;Portaria MMA N. 148/2022
Erythroxylum umbrosum;EN;Portaria MMA N. 148/2022
Erythroxylum vernicosum;EN;Portaria MMA N. 148/2022
Escallonia obtusissima;VU;Portaria MMA N. 148/2022
Escallonia petrophila;EN;Portaria MMA N. 148/2022
Actinostemon roseliae;EN;Portaria MMA N. 148/2022
Adenophaedra cearensis;CR;Portaria MMA N. 148/2022
Algernonia bahiensis;VU;Portaria MMA N. 148/2022
Algernonia brasiliensis;VU;Portaria MMA N. 148/2022
Algernonia dimitrii;EN;Portaria MMA N. 148/2022
Algernonia kuhlmannii;CR;Portaria MMA N. 148/2022
Astraea cincta;EN;Portaria MMA N. 148/2022
Bernardia crassifolia;EN;Portaria MMA N. 148/2022
Caperonia buettneriacea;VU;Portaria MMA N. 148/2022
Chiropetalum foliosum;EN;Portaria MMA N. 148/2022
Cnidoscolus hamosus;CR;Portaria MMA N. 148/2022
Cnidoscolus magni-gerdtii;CR;Portaria MMA N. 148/2022
Cnidoscolus rupestris;EN;Portaria MMA N. 148/2022
Croton campanulatus;EN;Portaria MMA N. 148/2022
Croton caryophyllus;EN;Portaria MMA N. 148/2022
Croton diasii;EN;Portaria MMA N. 148/2022
Croton hemiargyreus;EN;Portaria MMA N. 148/2022
Croton leptobotryus;VU;Portaria MMA N. 148/2022
Croton priscus;EN;Portaria MMA N. 148/2022
Croton sapiifolius;EN;Portaria MMA N. 148/2022
Croton thomasii;EN;Portaria MMA N. 148/2022
Dalechampia purpurata;EN;Portaria MMA N. 148/2022
Dalechampia riparia;CR;Portaria MMA N. 148/2022
Euphorbia appariciana;EN;Portaria MMA N. 148/2022
Euphorbia attastoma;EN;Portaria MMA N. 148/2022
Euphorbia crossadenia;EN;Portaria MMA N. 148/2022
Euphorbia gymnoclada;VU;Portaria MMA N. 148/2022
Euphorbia holochlorina;CR;Portaria MMA N. 148/2022
Euphorbia sabulicola;CR;Portaria MMA N. 148/2022
Glycydendron espiritosantense;VU;Portaria MMA N. 148/2022
Hevea camargoana;EN;Portaria MMA N. 148/2022
Manihot hahnii;EN;Portaria MMA N. 148/2022
Manihot longiracemosa;EN;Portaria MMA N. 148/2022
Manihot procumbens;VU;Portaria MMA N. 148/2022
Ophthalmoblapton macrophyllum;EN;Portaria MMA N. 148/2022
Ophthalmoblapton pedunculare;VU;Portaria MMA N. 148/2022
Sebastiania pteroclada;CR;Portaria MMA N. 148/2022
Stillingia loranthacea;EN;Portaria MMA N. 148/2022
Aeschynomene fructipendula;EN;Portaria MMA N. 148/2022
Albizia burkartiana;EN;Portaria MMA N. 148/2022
Albizia glabripetala;EN;Portaria MMA N. 148/2022
Aldina heterophylla;VU;Portaria MMA N. 148/2022
Amburana acreana;VU;Portaria MMA N. 148/2022
Andira marauensis;EN;Portaria MMA N. 148/2022
Apuleia leiocarpa;VU;Portaria MMA N. 148/2022
Arachis villosa;EN;Portaria MMA N. 148/2022
Arapatiella emarginata;EN;Portaria MMA N. 148/2022
Bauhinia albicans;EN;Portaria MMA N. 148/2022
Bauhinia glaziovii;CR;Portaria MMA N. 148/2022
Bauhinia integerrima;EN;Portaria MMA N. 148/2022
Bauhinia uberlandiana;CR;Portaria MMA N. 148/2022
Calliandra carrascana;EN;Portaria MMA N. 148/2022
Cassia rubriflora;EN;Portaria MMA N. 148/2022
Centrolobium paraense;EN;Portaria MMA N. 148/2022
Centrosema carajasense;VU;Portaria MMA N. 148/2022
Chamaecrista amabilis;EN;Portaria MMA N. 148/2022
Chamaecrista amorimii;EN;Portaria MMA N. 148/2022
Chamaecrista anamariae;EN;Portaria MMA N. 148/2022
Chamaecrista atroglandulosa;EN;Portaria MMA N. 148/2022
Chamaecrista bracteolata;EN;Portaria MMA N. 148/2022
Chamaecrista catolesensis;VU;Portaria MMA N. 148/2022
Chamaecrista fodinarum;EN;Portaria MMA N. 148/2022
Chamaecrista fulgida;CR;Portaria MMA N. 148/2022
Chamaecrista lagotois;CR;Portaria MMA N. 148/2022
Chamaecrista nuda;EN;Portaria MMA N. 148/2022
Chamaecrista phyllostachya;EN;Portaria MMA N. 148/2022
Chamaecrista stillifera;VU;Portaria MMA N. 148/2022
Chamaecrista subpeltata;EN;Portaria MMA N. 148/2022
Chamaecrista tephrosiifolia;VU;Portaria MMA N. 148/2022
Chamaecrista ulmea;CR;Portaria MMA N. 148/2022
Chamaecrista unijuga;EN;Portaria MMA N. 148/2022
Copaifera majorina;VU;Portaria MMA N. 148/2022
Coursetia vicioides;EN;Portaria MMA N. 148/2022
Ctenodon bradei;EN;Portaria MMA N. 148/2022
Ctenodon lacabuendianus;EN;Portaria MMA N. 148/2022
Cynometra marleneae;EN;Portaria MMA N. 148/2022
Dahlstedtia bahiana;EN;Portaria MMA N. 148/2022
Dahlstedtia glaziovii;EN;Portaria MMA N. 148/2022
Dahlstedtia grandiflora;EN;Portaria MMA N. 148/2022
Dahlstedtia peckoltii;EN;Portaria MMA N. 148/2022
Dalbergia ernest-ulei;EN;Portaria MMA N. 148/2022
Dalbergia glaziovii;EN;Portaria MMA N. 148/2022
Dalbergia nigra;VU;Portaria MMA N. 148/2022
Deguelia hatschbachii;VU;Portaria MMA N. 148/2022
Desmodium craspediferum;EN;Portaria MMA N. 148/2022
Dialium rondoniense;EN;Portaria MMA N. 148/2022
Dicymbe arenicola;EN;Portaria MMA N. 148/2022
Dicymbe puncticulosa;EN;Portaria MMA N. 148/2022
Dimorphandra exaltata;EN;Portaria MMA N. 148/2022
Dimorphandra wilsonii;EN;Portaria MMA N. 148/2022
Dinizia jueirana-facao;CR;Portaria MMA N. 148/2022
Diplotropis rodriguesii;VU;Portaria MMA N. 148/2022
Elizabetha speciosa;VU;Portaria MMA N. 148/2022
Gleditsia amorphoides;VU;Portaria MMA N. 148/2022
Grazielodendron rio-docensis;EN;Portaria MMA N. 148/2022
Harleyodendron unifoliolatum;EN;Portaria MMA N. 148/2022
Harpalyce lanata;EN;Portaria MMA N. 148/2022
Harpalyce parvifolia;EN;Portaria MMA N. 148/2022
Hymenaea parvifolia;VU;Portaria MMA N. 148/2022
Hymenolobium excelsum;VU;Portaria MMA N. 148/2022
Inga aptera;EN;Portaria MMA N. 148/2022
Inga conchifolia;EN;Portaria MMA N. 148/2022
Inga cordistipula;VU;Portaria MMA N. 148/2022
Inga globularis;EN;Portaria MMA N. 148/2022
Inga grazielae;EN;Portaria MMA N. 148/2022
Inga maritima;EN;Portaria MMA N. 148/2022
Inga mendoncaei;EN;Portaria MMA N. 148/2022
Inga pedunculata;EN;Portaria MMA N. 148/2022
Inga platyptera;EN;Portaria MMA N. 148/2022
Inga pleiogyna;EN;Portaria MMA N. 148/2022
Inga praegnans;EN;Portaria MMA N. 148/2022
Inga suborbicularis;EN;Portaria MMA N. 148/2022
Inga unica;EN;Portaria MMA N. 148/2022
Jupunba barnebyana;EN;Portaria MMA N. 148/2022
Lathyrus acutifolius;CR;Portaria MMA N. 148/2022
Lathyrus paraguariensis;VU;Portaria MMA N. 148/2022
Leptolobium araguaiense;EN;Portaria MMA N. 148/2022
Leptolobium glaziovianum;EN;Portaria MMA N. 148/2022
Leptolobium parvifolium;EN;Portaria MMA N. 148/2022
Leptolobium tenuifolium;EN;Portaria MMA N. 148/2022
Leucochloron foederale;EN;Portaria MMA N. 148/2022
Leucochloron limae;EN;Portaria MMA N. 148/2022
Leucochloron minarum;EN;Portaria MMA N. 148/2022
Luetzelburgia amazonica;EN;Portaria MMA N. 148/2022
Luetzelburgia harleyi;CR;Portaria MMA N. 148/2022
Luetzelburgia neurocarpa;CR;Portaria MMA N. 148/2022
Luetzelburgia trialata;EN;Portaria MMA N. 148/2022
Lupinus coriaceus;VU;Portaria MMA N. 148/2022
Lupinus decurrens;EN;Portaria MMA N. 148/2022
Lupinus gibertianus;CR;Portaria MMA N. 148/2022
Lupinus laevigatus;EN;Portaria MMA N. 148/2022
Lupinus russellianus;CR;Portaria MMA N. 148/2022
Machaerium androvillosum;CR;Portaria MMA N. 148/2022
Machaerium firmum;VU;Portaria MMA N. 148/2022
Machaerium legale;CR;Portaria MMA N. 148/2022
Machaerium macaense;EN;Portaria MMA N. 148/2022
Machaerium mucronulatum;EN;Portaria MMA N. 148/2022
Machaerium obovatum;VU;Portaria MMA N. 148/2022
Martiodendron fluminense;EN;Portaria MMA N. 148/2022
Melanoxylon brauna;VU;Portaria MMA N. 148/2022
Mimosa acroconica;CR;Portaria MMA N. 148/2022
Mimosa adamantina;EN;Portaria MMA N. 148/2022
Mimosa afranioi;EN;Portaria MMA N. 148/2022
Mimosa balduinii;EN;Portaria MMA N. 148/2022
Mimosa barretoi;EN;Portaria MMA N. 148/2022
Mimosa bathyrrhena;EN;Portaria MMA N. 148/2022
Mimosa bispiculata;CR;Portaria MMA N. 148/2022
Mimosa bocainae;CR;Portaria MMA N. 148/2022
Mimosa bombycina;EN;Portaria MMA N. 148/2022
