Especie;Categoria_Ameaca;Legislacao
Malouetia amazonica;EN;Portaria MMA N. 148/2022
Malouetia gracillima;EN;Portaria MMA N. 148/2022
Malouetia lata;EN;Portaria MMA N. 148/2022
Mandevilla crassinoda;EN;Portaria MMA N. 148/2022
Marsdenia otoniensis;CR;Portaria MMA N. 148/2022
Marsdenia queirozii;EN;Portaria MMA N. 148/2022
Matelea bahiensis;EN;Portaria MMA N. 148/2022
Matelea glaziovii;VU;Portaria MMA N. 148/2022
Matelea hatschbachii;EN;Portaria MMA N. 148/2022
Matelea marcoassisii;VU;Portaria MMA N. 148/2022
Metastelma giuliettianum;EN;Portaria MMA N. 148/2022
Metastelma harleyi;EN;Portaria MMA N. 148/2022
Minaria bifurcata;CR;Portaria MMA N. 148/2022
Minaria diamantinensis;CR;Portaria MMA N. 148/2022
Minaria grazielae;EN;Portaria MMA N. 148/2022
Minaria harleyi;EN;Portaria MMA N. 148/2022
Minaria hemipogonoides;CR;Portaria MMA N. 148/2022
Minaria magisteriana;EN;Portaria MMA N. 148/2022
Minaria monocoronata;CR;Portaria MMA N. 148/2022
Minaria polygaloides;EN;Portaria MMA N. 148/2022
Minaria refractifolia;VU;Portaria MMA N. 148/2022
Minaria semirii;EN;Portaria MMA N. 148/2022
Minaria volubilis;EN;Portaria MMA N. 148/2022
Monsanima morrenioides;CR;Portaria MMA N. 148/2022
Monsanima tinguaensis;VU;Portaria MMA N. 148/2022
Morilloa furlanii;EN;Portaria MMA N. 148/2022
Morilloa piranii;CR;Portaria MMA N. 148/2022
Mucoa duckei;EN;Portaria MMA N. 148/2022
Orthosia arenosa;EN;Portaria MMA N. 148/2022
Oxypetalum cordifolium subsp. mexiae;CR;Portaria MMA N. 148/2022
Oxypetalum costae;CR;Portaria MMA N. 148/2022
Oxypetalum dusenii;EN;Portaria MMA N. 148/2022
Oxypetalum ekblomii;EN;Portaria MMA N. 148/2022
Oxypetalum glaziovii;EN;Portaria MMA N. 148/2022
Oxypetalum leonii;EN;Portaria MMA N. 148/2022
Oxypetalum schottii;EN;Portaria MMA N. 148/2022
Parahancornia krukovii;EN;Portaria MMA N. 148/2022
Prestonia solanifolia;EN;Portaria MMA N. 148/2022
Rauvolfia capixabae;EN;Portaria MMA N. 148/2022
Spongiosperma longilobum;EN;Portaria MMA N. 148/2022
Tabernaemontana cumata;EN;Portaria MMA N. 148/2022
Cathedra paraensis;EN;Portaria MMA N. 148/2022
Ilex auricula;EN;Portaria MMA N. 148/2022
Ilex diuretica;VU;Portaria MMA N. 148/2022
Ilex euryaeformis;EN;Portaria MMA N. 148/2022
Ilex loranthoides;VU;Portaria MMA N. 148/2022
Ilex prostrata;CR;Portaria MMA N. 148/2022
Ilex sapiiformis;CR (PEX);Portaria MMA N. 148/2022
Ilex schwackeana;VU;Portaria MMA N. 148/2022
Anthurium augustinum;EN;Portaria MMA N. 148/2022
Anthurium binotii;EN;Portaria MMA N. 148/2022
Anthurium bragae;EN;Portaria MMA N. 148/2022
Anthurium cronembergerae;EN;Portaria MMA N. 148/2022
Anthurium jureianum;VU;Portaria MMA N. 148/2022
Anthurium langsdorffii;EN;Portaria MMA N. 148/2022
Anthurium laucheanum;EN;Portaria MMA N. 148/2022
Anthurium lhotzkyanum;VU;Portaria MMA N. 148/2022
Anthurium lucidum;CR;Portaria MMA N. 148/2022
Anthurium luschnathianum;EN;Portaria MMA N. 148/2022
Anthurium radicans;VU;Portaria MMA N. 148/2022
Anthurium sakuraguianum;CR;Portaria MMA N. 148/2022
Anthurium simonii;EN;Portaria MMA N. 148/2022
Anthurium xanthophylloides;VU;Portaria MMA N. 148/2022
Heteropsis flexuosa;VU;Portaria MMA N. 148/2022
Philodendron alternans;EN;Portaria MMA N. 148/2022
Philodendron fragile;EN;Portaria MMA N. 148/2022
Philodendron luisae;CR;Portaria MMA N. 148/2022
Philodendron nadruzianum;EN;Portaria MMA N. 148/2022
Philodendron spiritus-sancti;EN;Portaria MMA N. 148/2022
Aralia bahiana;EN;Portaria MMA N. 148/2022
Dendropanax amorimii;EN;Portaria MMA N. 148/2022
Dendropanax denticulatus;EN;Portaria MMA N. 148/2022
Dendropanax geniculatus;CR;Portaria MMA N. 148/2022
Dendropanax heterophyllus;CR;Portaria MMA N. 148/2022
Dendropanax langsdorfii;VU;Portaria MMA N. 148/2022
Dendropanax nebulosus;EN;Portaria MMA N. 148/2022
Dendropanax trilobus;CR;Portaria MMA N. 148/2022
Didymopanax acuminatus;EN;Portaria MMA N. 148/2022
Didymopanax auratus;EN;Portaria MMA N. 148/2022
Didymopanax capixabus;CR;Portaria MMA N. 148/2022
Didymopanax gardneri;EN;Portaria MMA N. 148/2022
Didymopanax glaziovii;EN;Portaria MMA N. 148/2022
Didymopanax grandigemmus;CR;Portaria MMA N. 148/2022
Didymopanax kollmannii;EN;Portaria MMA N. 148/2022
Didymopanax plurifolius;VU;Portaria MMA N. 148/2022
